Waktu,Suhu (°C),Kelembapan (%),Tekanan (hPa)
2025-05-17 18:54:59,28.7,92.65,1008.35
2025-05-17 18:54:59,28.7,92.65,1008.35
2025-05-17 18:54:58,28.67,92.71,1008.32
2025-05-17 18:54:58,28.67,92.71,1008.32
2025-05-17 18:54:57,28.66,92.77,1008.32
2025-05-17 18:54:57,28.66,92.77,1008.32
2025-05-17 18:54:56,28.64,92.82,1008.33
2025-05-17 18:54:56,28.64,92.82,1008.33
2025-05-17 18:54:55,28.63,92.88,1008.33
2025-05-17 18:54:55,28.63,92.88,1008.33
2025-05-17 18:54:54,28.61,92.94,1008.31
2025-05-17 18:54:54,28.61,92.94,1008.31
2025-05-17 18:54:53,28.6,92.98,1008.32
2025-05-17 18:54:53,28.6,92.98,1008.32
2025-05-17 18:54:52,28.58,93.01,1008.33
2025-05-17 18:54:52,28.58,93.01,1008.33
2025-05-17 18:54:51,28.56,93.08,1008.33
2025-05-17 18:54:51,28.56,93.08,1008.33
2025-05-17 18:54:50,28.55,93.11,1008.32
2025-05-17 18:54:50,28.55,93.11,1008.32
2025-05-17 18:54:49,28.53,93.18,1008.32
2025-05-17 18:54:49,28.53,93.18,1008.32
2025-05-17 18:54:48,28.52,93.23,1008.34
2025-05-17 18:54:48,28.52,93.23,1008.34
2025-05-17 18:54:47,28.51,93.31,1008.33
2025-05-17 18:54:47,28.51,93.31,1008.33
2025-05-17 18:54:46,28.47,93.43,1008.31
2025-05-17 18:54:46,28.49,93.37,1008.32
2025-05-17 18:54:46,28.49,93.37,1008.32
2025-05-17 18:54:45,28.47,93.43,1008.31
2025-05-17 18:54:44,28.44,93.43,1008.32
2025-05-17 18:54:44,28.44,93.43,1008.32
2025-05-17 18:54:43,28.41,93.5,1008.31
2025-05-17 18:54:43,28.41,93.5,1008.31
2025-05-17 18:54:42,28.39,93.57,1008.32
2025-05-17 18:54:42,28.39,93.57,1008.32
2025-05-17 18:54:41,28.37,93.58,1008.3
2025-05-17 18:54:41,28.37,93.58,1008.3
2025-05-17 18:54:40,28.34,93.62,1008.33
2025-05-17 18:54:40,28.34,93.62,1008.33
2025-05-17 18:54:39,28.33,93.58,1008.29
2025-05-17 18:54:39,28.33,93.58,1008.29
2025-05-17 18:54:38,28.31,93.62,1008.31
2025-05-17 18:54:38,28.31,93.62,1008.31
2025-05-17 18:54:37,28.29,93.67,1008.31
2025-05-17 18:54:37,28.29,93.67,1008.31
2025-05-17 18:54:36,28.27,93.69,1008.31
2025-05-17 18:54:36,28.27,93.69,1008.31
2025-05-17 18:54:35,28.26,93.74,1008.33
2025-05-17 18:54:35,28.26,93.74,1008.33
2025-05-17 18:54:34,28.24,93.79,1008.32
2025-05-17 18:54:34,28.24,93.79,1008.32
2025-05-17 18:54:33,28.21,93.84,1008.31
2025-05-17 18:54:33,28.21,93.84,1008.31
2025-05-17 18:54:32,28.19,93.87,1008.31
2025-05-17 18:54:32,28.19,93.87,1008.31
2025-05-17 18:54:30,28.16,93.95,1008.29
2025-05-17 18:54:30,28.16,93.95,1008.29
2025-05-17 18:54:30,28.18,93.9,1008.31
2025-05-17 18:54:30,28.18,93.9,1008.31
2025-05-17 18:54:29,28.15,93.99,1008.3
2025-05-17 18:54:29,28.15,93.99,1008.3
2025-05-17 18:54:28,28.13,94.01,1008.29
2025-05-17 18:54:28,28.13,94.01,1008.29
2025-05-17 18:54:27,28.11,94.06,1008.3
2025-05-17 18:54:27,28.11,94.06,1008.3
2025-05-17 18:54:25,28.08,94.09,1008.29
2025-05-17 18:54:25,28.08,94.09,1008.29
2025-05-17 18:54:24,28.07,94.13,1008.3
2025-05-17 18:54:24,28.07,94.13,1008.3
2025-05-17 18:54:23,28.04,94.17,1008.27
2025-05-17 18:54:23,28.04,94.17,1008.27
2025-05-17 18:54:22,28.01,94.21,1008.26
2025-05-17 18:54:22,28.03,94.15,1008.25
2025-05-17 18:54:22,28.03,94.15,1008.25
2025-05-17 18:54:21,27.99,94.27,1008.26
2025-05-17 18:54:21,28.01,94.21,1008.26
2025-05-17 18:54:20,27.99,94.27,1008.26
2025-05-17 18:54:19,27.97,94.29,1008.24
2025-05-17 18:54:19,27.97,94.29,1008.24
2025-05-17 18:54:18,27.96,94.32,1008.27
2025-05-17 18:54:18,27.96,94.32,1008.27
2025-05-17 18:54:17,27.95,94.36,1008.28
2025-05-17 18:54:17,27.95,94.36,1008.28
2025-05-17 18:54:16,27.93,94.42,1008.3
2025-05-17 18:54:16,27.93,94.42,1008.3
2025-05-17 18:54:15,27.91,94.45,1008.26
2025-05-17 18:54:15,27.91,94.45,1008.26
2025-05-17 18:54:14,27.89,94.47,1008.27
2025-05-17 18:54:14,27.89,94.47,1008.27
2025-05-17 18:54:13,27.87,94.51,1008.25
2025-05-17 18:54:13,27.87,94.51,1008.25
2025-05-17 18:54:12,27.85,94.54,1008.28
2025-05-17 18:54:12,27.85,94.54,1008.28
2025-05-17 18:54:11,27.84,94.54,1008.26
2025-05-17 18:54:11,27.84,94.54,1008.26
2025-05-17 18:54:10,27.8,94.6,1008.25
2025-05-17 18:54:10,27.82,94.56,1008.26
2025-05-17 18:54:10,27.82,94.56,1008.26
2025-05-17 18:54:09,27.8,94.6,1008.25
2025-05-17 18:54:08,27.79,94.63,1008.23
2025-05-17 18:54:08,27.79,94.63,1008.23
2025-05-17 18:54:07,27.78,94.62,1008.25
2025-05-17 18:54:07,27.78,94.62,1008.25
2025-05-17 18:54:06,27.76,94.63,1008.28
2025-05-17 18:54:06,27.76,94.63,1008.28
2025-05-17 18:54:05,27.72,94.7,1008.24
2025-05-17 18:54:05,27.75,94.65,1008.24
2025-05-17 18:54:05,27.75,94.65,1008.24
2025-05-17 18:54:04,27.72,94.71,1008.27
2025-05-17 18:54:04,27.72,94.7,1008.24
2025-05-17 18:54:03,27.72,94.71,1008.27
2025-05-17 18:54:02,27.71,94.69,1008.26
2025-05-17 18:54:02,27.71,94.69,1008.26
2025-05-17 18:54:01,27.7,94.72,1008.26
2025-05-17 18:54:01,27.7,94.72,1008.26
2025-05-17 18:54:00,27.67,94.73,1008.26
2025-05-17 18:54:00,27.67,94.73,1008.26
2025-05-17 18:53:59,27.67,94.76,1008.29
2025-05-17 18:53:59,27.67,94.76,1008.29
2025-05-17 18:53:58,27.66,94.78,1008.28
2025-05-17 18:53:58,27.66,94.78,1008.28
2025-05-17 18:53:57,27.64,94.8,1008.26
2025-05-17 18:53:57,27.64,94.8,1008.26
2025-05-17 18:53:56,27.64,94.84,1008.27
2025-05-17 18:53:56,27.64,94.84,1008.27
2025-05-17 18:53:55,27.63,94.83,1008.3
2025-05-17 18:53:55,27.63,94.83,1008.3
2025-05-17 18:53:54,27.62,94.83,1008.28
2025-05-17 18:53:54,27.62,94.83,1008.28
2025-05-17 18:53:53,27.62,94.82,1008.29
2025-05-17 18:53:53,27.62,94.82,1008.29
2025-05-17 18:53:52,27.61,94.83,1008.3
2025-05-17 18:53:52,27.61,94.83,1008.3
2025-05-17 18:53:51,27.6,94.84,1008.29
2025-05-17 18:53:51,27.6,94.84,1008.29
2025-05-17 18:53:50,27.6,94.85,1008.28
2025-05-17 18:53:50,27.6,94.85,1008.28
2025-05-17 18:53:49,27.59,94.87,1008.27
2025-05-17 18:53:49,27.59,94.87,1008.27
2025-05-17 18:53:48,27.58,94.88,1008.28
2025-05-17 18:53:48,27.58,94.88,1008.28
2025-05-17 18:53:47,27.58,94.93,1008.28
2025-05-17 18:53:47,27.58,94.93,1008.28
2025-05-17 18:53:46,27.57,94.98,1008.28
2025-05-17 18:53:46,27.57,94.98,1008.28
2025-05-17 18:53:45,27.57,94.98,1008.29
2025-05-17 18:53:45,27.57,94.98,1008.29
2025-05-17 18:53:44,27.55,94.98,1008.27
2025-05-17 18:53:44,27.55,94.98,1008.27
2025-05-17 18:53:43,27.55,94.92,1008.28
2025-05-17 18:53:43,27.55,94.92,1008.28
2025-05-17 18:53:42,27.54,94.92,1008.25
2025-05-17 18:53:42,27.54,94.92,1008.25
2025-05-17 18:53:41,27.53,94.94,1008.27
2025-05-17 18:53:41,27.53,94.94,1008.27
2025-05-17 18:53:40,27.53,94.96,1008.27
2025-05-17 18:53:40,27.53,94.96,1008.27
2025-05-17 18:53:39,27.52,94.98,1008.25
2025-05-17 18:53:39,27.52,94.98,1008.25
2025-05-17 18:53:38,27.52,95.0,1008.25
2025-05-17 18:53:38,27.52,95.0,1008.25
2025-05-17 18:53:37,27.5,94.99,1008.28
2025-05-17 18:53:37,27.5,94.99,1008.28
2025-05-17 18:53:36,27.49,94.96,1008.3
2025-05-17 18:53:36,27.49,94.96,1008.3
2025-05-17 18:53:35,27.48,94.97,1008.28
2025-05-17 18:53:35,27.48,94.97,1008.28
2025-05-17 18:53:34,27.48,95.0,1008.27
2025-05-17 18:53:34,27.48,95.0,1008.27
2025-05-17 18:53:33,27.48,94.99,1008.28
2025-05-17 18:53:33,27.48,94.99,1008.28
2025-05-17 18:53:32,27.46,95.03,1008.25
2025-05-17 18:53:32,27.46,95.03,1008.25
2025-05-17 18:53:31,27.46,95.04,1008.24
